key,place,name,bounds,query,score
אדירים,village,"[""אדירים""]","[35.2665662, 32.5447494, 35.2777202, 32.5534098]",אדירים,96.59810159994153
אדמה,hamlet,"[""אדמה""]","[35.2139955, 32.9718517, 35.2175289, 32.9739375]",אדמה,3.6849828599878762
אדמית,village,"[""אדמית""]","[35.2036625, 33.077971, 35.2139851, 33.0810562]",אדמית,31.847285520016804
אדרת,village,"[""אדרת""]","[34.9909048, 31.6559577, 34.9988393, 31.6647115]",אדרת,69.45702609998554
אודים,village,"[""אודים""]","[34.8405241, 32.2595149, 34.8588582, 32.2715481]",אודים,220.61789211992078
אודם,village,"[""אודם""]","[35.7456465, 33.1895888, 35.7543336, 33.1977692]",אודם,71.06395284002963
אוהד,village,"[""אוהד""]","[34.4278568, 31.2337732, 34.4357829, 31.2413225]",אוהד,59.83650672996987
אום_אל_גנם,village,"[""אום אל גנם""]","[35.3869539, 32.6740088, 35.4038961, 32.67884]",אום אל גנם,81.85115663994672
אום_אל_חיראן,village,"[""אום אל-חיראן""]","[34.9937027, 31.3134216, 34.9992849, 31.3183959]",אום אל-חיראן,27.767537459979856
אום_אל_חירן,,"[""אום אל חירן""]","[34.972247, 31.3009354, 34.9776642, 31.3045825]",אום אל חירן,1.9757070119979145
אום_אל_פחם,town,"[""אום אל-פחם""]","[35.1084261, 32.5010527, 35.1940476, 32.5638157]",אום אל-פחם,26869.311022497033
אום_אל_קוטוף,village,"[""אום אל קוטוף""]","[35.0505921, 32.464968, 35.0621408, 32.4738934]",אום אל קוטוף,103.07676698001798
אום_בטין,village,"[""אום בטין""]","[34.8757066, 31.2700323, 34.8899617, 31.2847843]",אום בטין,210.29123519996597
אום_מתנאן,,"[""אום מתנאן""]","[34.9499632, 31.1112922, 34.9731912, 31.1286546]",אום מתנאן,40.329382720004666
אום_סהלי,village,"[""אום סהלי""]","[35.1720424, 32.7861819, 35.1736131, 32.7880679]",אום סהלי,2.9623401999887773
אום_צפא,village,"[""אום צפא""]","[35.1618547, 32.0073757, 35.168925, 32.0110912]",אום צפא,26.26969965004769
אומן,village,"[""אומן""]","[35.2405638, 32.5595516, 35.2447869, 32.5669192]",אומן,31.114111560040726
אומץ,village,"[""אומץ""]","[34.9869403, 32.3650924, 35.0012139, 32.3756764]",אומץ,151.0717824000505
אופקים,town,"[""אופקים""]","[34.6048596, 31.2899745, 34.667501, 31.3261611]",אופקים,11333.896426200912
אור_הגנוז,village,"[""אור הגנוז""]","[35.441285, 33.0022142, 35.4505017, 33.0081117]",אור הגנוז,54.35548825000656
אור_הנר,village,"[""אור הנר""]","[34.5942527, 31.5549608, 34.6067737, 31.5595164]",אור הנר,57.04066759999513
אור_יהודה,town,"[""אור יהודה""]","[34.8413215, 32.0189646, 34.8741248, 32.0407709]",אור יהודה,3576.593003949989
אור_עקיבא,town,"[""אור עקיבא""]","[34.9118541, 32.4819053, 34.9289623, 32.5239869]",אור עקיבא,3599.702145600217
אורה,village,"[""אורה""]","[35.1462749, 31.7465415, 35.1586927, 31.760473]",אורה,172.99858070004248
אורות,village,"[""אורות""]","[34.7268826, 31.7370997, 34.7396816, 31.7470184]",אורות,126.9494412999413
אורטל,village,"[""אורטל""]","[35.7574435, 33.08004, 35.7663518, 33.0905539]",אורטל,93.66097537007533
אורים,village,"[""אורים""]","[34.5171827, 31.2999605, 34.5279587, 31.3073801]",אורים,79.95360959998456
אורנים,village,"[""אורנים""]","[35.1058565, 32.7106742, 35.1117681, 32.7135948]",אורנים,17.265418960010614
אורנית,village,"[""אורנית""]","[34.9899157, 32.1232799, 34.9934531, 32.127943]",אורנית,16.49524994003537
אושה,village,"[""אושה""]","[35.1118649, 32.7933281, 35.1179208, 32.799005]",אושה,34.378738710026234
אזור,village,"[""אזור""]","[34.796945, 32.0132041, 34.8173279, 32.0338591]",אזור,421.00879949998375
אחוזם,village,"[""אחוזם""]","[34.7645971, 31.5484573, 34.7756776, 31.5581338]",אחוזם,107.2204582499987
אחוזת_ברק,village,"[""אחוזת ברק""]","[35.3328574, 32.6395818, 35.34211, 32.6473633]",אחוזת ברק,71.99910689997293
אחיה,village,"[""אחיה""]","[35.3228036, 32.0584437, 35.3317993, 32.0646192]",אחיה,55.552945350041895
אחיהוד,village,"[""אחיהוד""]","[35.1675467, 32.9035167, 35.1805446, 32.9109039]",אחיהוד,96.01808688001044
אחיטוב,village,"[""אחיטוב""]","[34.9835558, 32.3830997, 34.9956478, 32.3929247]",אחיטוב,118.8039000000177
אחיסמך,village,"[""אחיסמך""]","[34.8994794, 31.9267186, 34.913547, 31.9447314]",אחיסמך,253.39686528004
אחיעזר,village,"[""אחיעזר""]","[34.8610682, 31.9728387, 34.8800356, 31.9895325]",אחיעזר,316.6379821199945
אטרש,village,"[""אטרש""]","[34.9649034, 31.2480283, 34.9701629, 31.2583008]",אטרש,54.028213750007126
איבטין,village,"[""איבטין""]","[35.1094315, 32.7589891, 35.1228621, 32.7636736]",איבטין,62.915645699946765
איבי_הנחל,village,"[""איבי הנחל""]","[35.2176226, 31.6026963, 35.2205157, 31.6083345]",איבי הנחל,16.311876420007824
איבים,village,"[""איבים""]","[34.6080884, 31.5310928, 34.612466, 31.5349876]",איבים,17.049876479997387
איבתאן,village,"[""איבתאן""]","[35.0387243, 32.3630535, 35.0504538, 32.3701305]",איבתאן,83.00967150003771
אייל,village,"[""אייל""]","[34.9754262, 32.2056338, 34.9826297, 32.2144371]",אייל,63.41457154993864
איילון_אילון,village,"[""איילון"", ""אילון""]","[35.2099056, 33.0606592, 35.2241899, 33.0682771]",איילון,108.81636896999397
איילת_השחר,quarter,"[""איילת השחר""]","[34.9625784, 31.6977346, 35.5823954, 33.0288293]",איילת השחר,82503.5123669905
איכסל,village,"[""איכסל""]","[35.316396, 32.6750235, 35.3352412, 32.6893848]",איכסל,270.64157075996786
אילות,village,"[""אילות""]","[34.95924, 29.5791605, 34.9665401, 29.5840466]",אילות,35.66901861001102
אילניה,village,"[""אילניה""]","[35.4006014, 32.74916, 35.410648, 32.7610372]",אילניה,119.32547751996616
אילת,,"[""אילת""]","[34.8663724, 29.4877892, 35.0227975, 29.7631027]",אילת,4306.594176884986
